in,uit,rich,entry,exit,pnl,result,type,variant,versie
2025-02-20 10:00:00+00:00,2025-02-20 11:00:00+00:00,1,2970.6,2960.79,-452.18,SL,C_MOMENTUM,V16-Balanced,v16
2025-02-24 08:00:00+00:00,2025-02-24 09:00:00+00:00,1,2961.1,2951.88,-225.58,SL,E_BOS,V16-Balanced,v16
2025-02-24 11:00:00+00:00,2025-02-24 12:00:00+00:00,1,2962.2,2952.98,-225.33,SL,C_MOMENTUM,V16-Balanced,v16
2025-03-07 14:00:00+00:00,2025-03-07 15:00:00+00:00,1,2934.9,2928.69,-225.08,SL,C_MOMENTUM,V16-Balanced,v16
2025-03-13 13:00:00+00:00,2025-03-13 14:00:00+00:00,1,2960.1,2968.2,91.05,TP1,E_BOS,V16-Balanced,v16
2025-03-13 13:00:00+00:00,2025-03-13 14:00:00+00:00,1,2960.1,2976.91,188.85,TP2,E_BOS,V16-Balanced,v16
2025-03-13 13:00:00+00:00,2025-03-13 14:00:00+00:00,1,2960.1,2984.41,364.22,TP3,E_BOS,V16-Balanced,v16
2025-03-17 14:00:00+00:00,2025-03-17 15:00:00+00:00,1,3006.0,3000.81,-451.09,SL,B_MACDCROSS,V16-Balanced,v16
2025-03-17 16:00:00+00:00,2025-03-17 20:00:00+00:00,1,3002.1,3009.68,159.14,TP1,D_PULLBACK,V16-Balanced,v16
2025-03-17 16:00:00+00:00,2025-03-18 01:00:00+00:00,1,3002.1,3016.25,5941.08,TP2,D_PULLBACK,V16-Balanced,v16
2025-03-17 16:00:00+00:00,2025-03-18 04:00:00+00:00,1,3002.1,3024.84,12730.88,TP3,D_PULLBACK,V16-Balanced,v16
2025-03-19 10:00:00+00:00,2025-03-19 13:00:00+00:00,1,3042.3,3037.67,-483.47,SL,D_PULLBACK,V16-Balanced,v16
2025-03-19 13:00:00+00:00,2025-03-19 14:00:00+00:00,1,3041.8,3037.09,-482.41,SL,D_PULLBACK,V16-Balanced,v16
2025-03-26 10:00:00+00:00,2025-03-26 13:00:00+00:00,1,3029.1,3024.2,-612.62,SL,C_MOMENTUM,V16-Balanced,v16
2025-03-28 14:00:00+00:00,2025-03-28 15:00:00+00:00,1,3103.9,3092.91,-240.0,SL,D_PULLBACK,V16-Balanced,v16
2025-03-31 13:00:00+00:00,2025-03-31 14:00:00+00:00,1,3146.5,3129.31,-239.74,SL,D_PULLBACK,V16-Balanced,v16
2025-03-31 15:00:00+00:00,2025-03-31 16:00:00+00:00,1,3146.9,3129.21,-239.47,SL,D_PULLBACK,V16-Balanced,v16
2025-04-01 13:00:00+00:00,2025-04-01 14:00:00+00:00,1,3165.5,3148.89,-191.37,SL,D_PULLBACK,V16-Balanced,v16
2025-04-02 08:00:00+00:00,2025-04-02 09:00:00+00:00,1,3162.7,3149.37,-304.18,SL,A_EMACROSS,V16-Balanced,v16
2025-04-02 11:00:00+00:00,2025-04-02 13:00:00+00:00,1,3157.3,3143.97,-243.0,SL,C_MOMENTUM,V16-Balanced,v16
2025-04-10 13:00:00+00:00,2025-04-10 14:00:00+00:00,1,3134.2,3163.32,85.82,TP1,D_PULLBACK,V16-Balanced,v16
2025-04-10 13:00:00+00:00,2025-04-10 15:00:00+00:00,1,3134.2,3188.56,160.2,TP2,D_PULLBACK,V16-Balanced,v16
2025-04-10 13:00:00+00:00,2025-04-11 00:00:00+00:00,1,3134.2,3221.57,6865.82,TP3,D_PULLBACK,V16-Balanced,v16
2025-04-15 08:00:00+00:00,2025-04-15 12:00:00+00:00,1,3243.5,3228.78,-492.44,SL,D_PULLBACK,V16-Balanced,v16
2025-04-15 14:00:00+00:00,2025-04-15 23:00:00+00:00,1,3239.1,3260.68,221.11,TP1,D_PULLBACK,V16-Balanced,v16
2025-04-15 14:00:00+00:00,2025-04-16 00:00:00+00:00,1,3239.1,3279.38,412.74,TP2,D_PULLBACK,V16-Balanced,v16
2025-04-15 14:00:00+00:00,2025-04-16 04:00:00+00:00,1,3239.1,3303.84,2211.1,TP3,D_PULLBACK,V16-Balanced,v16
2025-04-22 08:00:00+00:00,2025-04-22 09:00:00+00:00,1,3455.5,3469.66,223.93,TP1,D_PULLBACK,V16-Balanced,v16
2025-04-22 08:00:00+00:00,2025-04-22 12:00:00+00:00,1,3455.5,3455.97,348.33,SL,D_PULLBACK,V16-Balanced,v16
2025-04-28 14:00:00+00:00,2025-04-28 18:00:00+00:00,1,3339.6,3360.02,357.15,TP1,A_EMACROSS,V16-Balanced,v16
2025-04-28 14:00:00+00:00,2025-04-28 22:00:00+00:00,1,3339.6,3345.04,555.56,SL,A_EMACROSS,V16-Balanced,v16
2025-05-09 15:00:00+00:00,2025-05-09 19:00:00+00:00,1,3350.3,3338.34,-637.49,SL,E_BOS,V16-Balanced,v16
2025-05-14 11:00:00+00:00,2025-05-14 12:00:00+00:00,-1,3223.7,3209.98,257.46,TP1,E_BOS,V16-Balanced,v16
2025-05-14 11:00:00+00:00,2025-05-14 12:00:00+00:00,-1,3223.7,3195.25,533.99,TP2,E_BOS,V16-Balanced,v16
