side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,atr,pnl,gross_pnl,exit_reason,bars_held,entry_date,month
short,2026-01-28 04:30:00,2026-01-28 04:43:00,2612.849068157634,2588.675996863439,2624.9356038047313,2588.675996863439,143.23147194169977,8.057690431398287,3461.744582819181,3462.3445828191807,TP,13,2026-01-28,2026-01
short,2026-02-02 06:47:00,2026-02-02 07:22:00,2478.8132725559117,2490.7259591758284,2490.7259591758284,2454.9878993160787,148.2276663171512,7.941791079944364,-1766.3897372378062,-1765.7897372378063,SL,35,2026-02-02,2026-02
short,2026-02-02 07:40:00,2026-02-02 08:03:00,2479.1410319724628,2454.4923059026337,2491.4653950073775,2454.4923059026337,141.84309849628852,8.216242023276374,3495.651679730801,3496.251679730801,TP,23,2026-02-02,2026-02
long,2026-02-04 03:48:00,2026-02-04 05:01:00,2508.8939719509517,2498.9825423971542,2498.9825423971542,2528.7168310585466,179.9016324521559,6.607619702531659,-1783.6823566627063,-1783.0823566627064,SL,73,2026-02-04,2026-02
long,2026-02-04 06:17:00,2026-02-04 06:34:00,2525.429722109778,2519.533850289583,2519.533850289583,2537.2214657501686,299.4036483373931,3.9305812134635003,-1765.845533096077,-1765.245533096077,SL,17,2026-02-04,2026-02
long,2026-02-04 08:54:00,2026-02-05 03:54:00,2532.4647969823764,2543.831178950753,2521.7005882901676,2553.993214366794,162.35165331103636,7.1761391281391855,1844.7509047306885,1845.3509047306884,Timeout,90,2026-02-04,2026-02
long,2026-02-06 06:09:00,2026-02-06 07:05:00,2591.656863986173,2608.163257251002,2583.4036673537585,2608.163257251002,213.98188671239205,5.502131088276382,3531.469173624843,3532.0691736248427,TP,56,2026-02-06,2026-02
long,2026-02-09 05:12:00,2026-02-09 05:24:00,2607.028476617063,2599.2282996716276,2599.2282996716276,2622.6288305079343,230.93697632113185,5.200117963623674,-1801.9492785486525,-1801.3492785486526,SL,12,2026-02-09,2026-02
long,2026-02-09 09:00:00,2026-02-10 03:26:00,2612.5727602340157,2600.5034105111486,2600.5034105111486,2636.71145967975,147.75690710033854,8.046233148578166,-1783.9297857631814,-1783.3297857631815,SL,56,2026-02-09,2026-02
long,2026-02-10 09:28:00,2026-02-11 03:15:00,2654.3414394938136,2645.4034121077075,2645.4034121077075,2672.2174942660263,197.52574160266389,5.958684924070848,-1766.0904879055295,-1765.4904879055296,SL,17,2026-02-10,2026-02
long,2026-02-11 05:25:00,2026-02-11 05:59:00,2675.3333995872986,2694.1069120636325,2665.9466433491316,2694.1069120636325,186.2016588776184,6.257837492111253,3495.0591660530495,3495.6591660530494,TP,34,2026-02-11,2026-02
long,2026-02-12 06:42:00,2026-02-12 07:13:00,2747.8246900831305,2763.548717994469,2739.9626761274612,2763.548717994469,226.75871408260662,5.241342637112744,3564.9603493741224,3565.5603493741223,TP,31,2026-02-12,2026-02
long,2026-02-13 04:56:00,2026-02-13 06:26:00,2804.7793081827676,2812.591148306276,2792.0196866035917,2830.2985513411195,142.5143972254249,8.506414386117266,1112.6996864231767,1113.2996864231766,Timeout,90,2026-02-13,2026-02
long,2026-02-13 07:32:00,2026-02-13 08:31:00,2820.8463942669155,2812.948443941574,2812.948443941574,2836.6422949175976,231.64956725224675,5.265300216894072,-1830.156775045053,-1829.5567750450532,SL,59,2026-02-13,2026-02
long,2026-02-13 08:11:00,2026-02-13 08:24:00,2824.0207805810514,2815.3272699446475,2815.3272699446475,2841.4078018538594,210.45085829696364,5.795673757602682,-1830.1567750449983,-1829.5567750449984,SL,13,2026-02-13,2026-02
long,2026-02-16 06:09:00,2026-02-16 06:36:00,2838.4583808871225,2858.3306499065275,2828.52224637742,2858.3306499065275,180.44780269362363,6.6240896731350265,3585.307279088192,3585.907279088192,TP,27,2026-02-16,2026-02
long,2026-02-17 06:59:00,2026-02-17 07:30:00,2839.5146075397656,2830.186840119096,2830.186840119096,2858.1701423811046,196.06049656453732,6.218511613779717,-1829.4067123350178,-1828.806712335018,SL,31,2026-02-17,2026-02
long,2026-02-18 08:09:00,2026-02-18 08:54:00,2865.1138618005166,2854.7062899683874,2854.7062899683874,2885.929005464775,173.96110009276384,6.938381221419402,-1811.1126452116534,-1810.5126452116535,SL,45,2026-02-18,2026-02
long,2026-02-18 08:30:00,2026-02-18 08:54:00,2864.4759720045886,2855.349183802035,2855.349183802035,2882.729548409696,198.37346994697043,6.084525468369098,-1811.1126452116305,-1810.5126452116306,SL,24,2026-02-18,2026-02
long,2026-02-18 09:21:00,2026-02-19 03:10:00,2864.646016720568,2886.2464471902886,2853.8458014857074,2886.2464471902886,164.28287341723134,7.200143489906864,3547.9807846148456,3548.5807846148455,TP,19,2026-02-18,2026-02
long,2026-02-20 07:47:00,2026-02-20 08:05:00,2932.8667386672164,2956.396300317363,2921.1019578421433,2956.396300317363,153.82948709903215,7.843187216715541,3618.9404003071177,3619.5404003071176,TP,18,2026-02-20,2026-02
short,2026-02-23 05:16:00,2026-02-23 05:21:00,2849.4261302264263,2864.7958792480954,2864.7958792480954,2818.686632183088,120.10343184876277,10.246499347779423,-1846.5596041566255,-1845.9596041566256,SL,5,2026-02-23,2026-02
short,2026-02-23 08:55:00,2026-02-23 09:14:00,2821.1024417697026,2834.9665910019926,2834.9665910019926,2793.3741433051227,131.81436361481056,9.24276615485995,-1828.0940081150636,-1827.4940081150637,SL,19,2026-02-23,2026-02
short,2026-02-24 04:09:00,2026-02-24 04:31:00,2814.6320776100793,2831.091234896301,2831.091234896301,2781.7137630376355,109.92136696745881,10.972771524147868,-1809.8130680339157,-1809.2130680339158,SL,22,2026-02-24,2026-02
short,2026-02-24 04:33:00,2026-02-24 04:53:00,2811.0709093334303,2830.7780625791497,2830.7780625791497,2771.656602841991,90.88653825445854,13.138102163813066,-1791.7149373535515,-1791.1149373535516,SL,20,2026-02-24,2026-02
short,2026-02-24 05:42:00,2026-02-24 07:05:00,2811.700429827883,2781.9358311377086,2826.58272917297,2781.9358311377086,119.1481065434556,9.921532896724722,3545.7955759600927,3546.3955759600926,TP,83,2026-02-24,2026-02
short,2026-02-25 04:32:00,2026-02-25 05:23:00,2719.6087963302825,2733.530005102219,2733.530005102219,2691.76637878641,129.9208835504057,9.280805847957604,-1809.2557437396565,-1808.6557437396566,SL,51,2026-02-25,2026-02
short,2026-02-26 05:36:00,2026-02-26 07:06:00,2622.9704151673773,2628.577451960863,2638.0582733453084,2592.794698811515,118.67576995926972,10.058572118620745,-666.0194086568825,-665.4194086568825,Timeout,90,2026-02-26,2026-02
short,2026-02-26 06:05:00,2026-02-26 07:18:00,2625.182498319684,2638.2998749932,2638.2998749932,2598.947744972652,136.5031462363489,8.744917782344066,-1791.163186302225,-1790.5631863022252,SL,73,2026-02-26,2026-02
